#h	fwdEuler	bwdEuler	Heun	RK4
0.000251188643150958 	5.40383142724946e-06 	5.3075140911987e-06 	5.27909269376845e-06 	5.24577032618374e-06
0.000258523483956219 	5.52742546159412e-06 	5.43892396658813e-06 	5.33966800230113e-06 	5.18949699110619e-06
0.000266072505979881 	5.80786260679636e-06 	5.72707941659424e-06 	5.55402839095298e-06 	5.2857859803447e-06
0.000273841963426436 	6.26199010659927e-06 	6.19228921819507e-06 	5.94094656542636e-06 	5.55256383026793e-06
0.000281838293126445 	6.91172727103546e-06 	6.85774164142522e-06 	6.52488923950606e-06 	5.91633321945003e-06
0.000290068119869315 	7.78373785443809e-06 	7.74569356292231e-06 	7.3287604902484e-06 	6.56455792113492e-06
0.000298538261891796 	8.90465919709889e-06 	8.88687167404705e-06 	8.38046174048888e-06 	7.45502938454924e-06
0.000307255736526744 	7.79340199421696e-06 	7.59966422725795e-06 	7.85852026728335e-06 	8.32446058060021e-06
0.000316227766016838 	7.44521603572922e-06 	7.25623940797258e-06 	7.42957056141159e-06 	7.73999937567738e-06
0.000325461783498046 	7.24462544231761e-06 	7.06210612287828e-06 	7.14663752116535e-06 	7.32230442214473e-06
0.000334965439157827 	7.20881924383836e-06 	7.03488831833785e-06 	7.0268736493126e-06 	6.99813600475045e-06
0.000344746606573149 	7.35677688064084e-06 	7.19888361085094e-06 	7.09163318886745e-06 	6.8507654145705e-06
0.000354813389233575 	7.71315652947085e-06 	7.57192332935681e-06 	7.28046263881619e-06 	6.85548290281543e-06
0.000365174127254837 	8.30273056949727e-06 	8.17944652765733e-06 	7.75108548314065e-06 	7.10045536479673e-06
0.000375837404288444 	9.15092492303378e-06 	9.05345289098303e-06 	8.48153812404225e-06 	7.4903175016729e-06
0.000386812054633052 	1.02933392427451e-05 	1.02272866634742e-05 	9.50340857023027e-06 	8.23770396955871e-06
0.000398107170553497 	1.1767849654484e-05 	1.17375544312628e-05 	1.08551649811447e-05 	9.30849317130243e-06
0.000409732109813541 	9.042908257956e-06 	8.76192994570859e-06 	8.88026309965636e-06 	9.1765012798374e-06
0.000421696503428582 	9.03213307480763e-06 	8.76940330513934e-06 	8.73053881619653e-06 	8.72815630638333e-06
0.000434010263644743 	9.25985433099832e-06 	9.01863556477937e-06 	8.81455920184435e-06 	8.49216239826941e-06
0.000446683592150963 	9.75200037009488e-06 	9.53669613893503e-06 	9.16334758333575e-06 	8.48447374603417e-06
0.000459726988530872 	1.05405049292634e-05 	1.03584496948377e-05 	9.66375626145963e-06 	8.67468186690622e-06
0.00047315125896148 	1.16638245659892e-05 	1.15243204683349e-05 	1.06018162589851e-05 	9.23121430039819e-06
