# nm = 1000 nc = 10 len = 200 npart = 2 beta = 0.3
#part 	obs1 	obs2
1	46.1799	63.2612
0	51.2279	64.8899
1	45.885	63.3781
0	51.5155	64.8643
1	46.3251	63.3021
0	50.4623	64.9238
1	45.5099	63.212
0	51.2815	65.0198
1	44.6464	63.3686
0	51.5874	64.8675
1	43.2818	63.2413
0	52.0725	64.9658
1	44.1865	63.2506
0	53.0087	64.8245
1	44.0935	63.3
0	53.5365	64.6839
1	45.6462	63.2286
0	54.0172	64.827
1	46.5252	63.3775
0	52.8551	64.893
1	47.5689	63.3307
0	52.1785	64.7749
1	48.7621	63.385
0	53.7601	65.0624
1	48.4227	63.2683
0	52.8288	64.8428
1	50.1884	63.341
0	51.8067	64.8018
1	51.4195	63.3834
0	50.934	64.7688
1	50.2461	63.3185
0	49.4958	64.7734
1	50.9454	63.3223
0	48.4942	64.7839
1	51.6282	63.4972
0	49.8538	64.7652
1	51.3886	63.3529
0	50.6588	64.8009
1	48.6726	63.4869
0	52.8757	64.9223
1	49.226	63.438
0	54.6275	64.8238
1	48.6239	63.5594
0	56.9602	64.8045
1	46.9044	63.3266
0	57.2721	64.7912
1	47.892	63.4386
0	58.2039	64.87
1	48.7697	63.3938
0	56.9634	64.7891
1	47.2797	63.3925
0	55.548	64.844
1	46.3738	63.312
0	56.1015	64.8734
1	45.9115	63.3927
0	57.0696	64.8454
1	44.4266	63.4016
0	56.5434	64.9184
1	45.7375	63.2716
0	57.7145	64.833
1	44.15	63.2933
0	56.2869	64.8185
1	45.7942	63.3071
0	56.1289	64.7817
1	44.1109	63.4174
0	56.0429	64.7987
1	43.1324	63.3142
0	56.4964	64.7427
1	45.0228	63.3586
0	57.2283	64.9482
1	46.4234	63.2274
0	55.9035	64.7317
1	46.1305	63.3002
0	53.6517	64.7505
1	46.0296	63.2545
0	52.41	64.8044
1	46.8466	63.4133
0	55.3635	64.7243
1	46.7966	63.3143
0	54.9868	64.7868
1	48.0967	63.396
0	55.4332	64.8745
1	46.631	63.3924
0	54.2133	64.7687
1	46.0743	63.406
0	55.0747	64.7219
1	46.5601	63.3423
0	52.4809	64.8427
1	47.9562	63.3099
0	52.2953	64.752
1	48.7242	63.3952
0	53.7299	64.9325
1	47.8228	63.4813
0	53.2105	64.8274
1	46.9152	63.3285
0	53.0959	64.9415
1	46.4768	63.4068
0	55.044	64.8309
1	47.4634	63.3941
0	55.2006	64.813
1	46.9287	63.35
0	55.7931	64.7614
1	48.6277	63.3834
0	54.2832	64.9039
1	48.7954	63.3189
0	54.963	64.7887
1	48.7469	63.346
0	54.0333	64.6981
1	48.7071	63.2814
0	56.3288	64.8876
1	50.5004	63.3915
0	57.2136	64.8485
1	50.8933	63.322
0	57.9983	64.9904
1	51.4873	63.4665
0	57.6333	64.9386
1	48.6318	63.4796
0	54.7958	64.8087
1	50.1792	63.3795
0	55.0169	64.8249
1	48.7528	63.3331
0	55.0091	64.873
1	49.0463	63.3074
0	54.0249	64.8225
1	50.4168	63.3425
0	51.6492	64.7506
1	49.9149	63.2607
0	51.9025	64.8373
1	48.1164	63.3159
0	51.9549	64.757
1	47.6397	63.3677
0	48.9544	64.841
1	47.1482	63.1814
0	50.7459	64.8392
1	46.4811	63.3163
0	50.4405	64.8399
1	46.0342	63.3532
0	48.9866	64.738
1	46.0881	63.3304
0	48.9787	64.8847
1	46.789	63.2893
0	48.9181	64.8543
1	47.7477	63.3427
0	46.531	64.7549
1	48.6609	63.5276
0	44.526	64.7275
1	51.212	63.3588
0	45.0292	64.86
1	52.1061	63.4125
0	45.0011	64.6948
1	52.7839	63.4333
0	45.3927	64.8289
1	52.0878	63.2841
0	45.577	64.7998
1	52.8093	63.3007
0	45.4154	64.8412
1	50.6565	63.4437
0	43.9196	64.9238
1	51.8678	63.4017
0	45.0878	64.8718
1	49.4646	63.3968
0	46.1657	64.9565
1	47.9425	63.2433
0	46.8482	64.8872
1	48.3939	63.297
0	46.263	64.7714
1	51.3615	63.5371
0	44.4428	64.8658
1	54.0111	63.5083
0	45.3614	64.7873
1	57.0986	63.4508
0	47.1433	64.9851
1	56.1569	63.3607
0	46.3383	64.8516
1	53.717	63.3514
0	47.2434	64.9707
1	54.0538	63.2581
0	47.2242	64.741
1	54.5108	63.3225
0	46.8577	64.991
1	53.8768	63.3812
0	46.6334	64.8463
1	55.2962	63.4238
0	46.912	64.8099
1	53.8865	63.3675
0	47.2731	64.8907
1	51.6564	63.4043
0	47.1286	64.9105
1	51.1963	63.2759
0	46.8482	64.8016
1	53.8447	63.2302
0	45.3481	64.7877
1	53.808	63.3438
0	45.5544	64.8186
1	51.7547	63.3572
0	44.5498	64.7617
1	50.7346	63.281
0	46.2187	64.8957
1	49.3809	63.2689
0	50.0988	64.89
1	49.0215	63.2872
0	49.0701	64.8044
1	49.3681	63.3665
0	50.6629	64.8907
1	49.7662	63.3485
0	50.0871	64.8775
1	48.3492	63.2214
0	50.2227	64.965
1	49.0714	63.3313
0	50.8376	65.0299
1	48.7306	63.3116
0	53.1042	64.9192
1	48.1826	63.2287
0	50.665	64.8634
1	49.9627	63.403
0	50.5612	64.8193
1	50.42	63.4379
0	50.8954	64.7895
1	50.1094	63.4512
0	50.0514	64.6785
1	50.6691	63.3421
0	50.4266	64.8054
1	50.8872	63.3339
0	50.5016	64.8016
1	49.3492	63.4379
0	49.7923	64.8777
1	50.8774	63.4385
0	48.932	64.8007
1	51.9625	63.4261
0	50.0602	64.8945
1	50.0181	63.4209
0	48.3287	64.8368
1	49.9136	63.3947
0	50.3823	64.9981
1	49.9294	63.3495
0	47.1909	64.9532
1	50.917	63.3243
0	45.68	64.9264
1	52.6486	63.4439
0	44.8873	64.832
1	52.3325	63.4184
0	44.8948	64.8924
1	51.5077	63.2437
0	42.0777	64.8009
1	50.3814	63.3282
0	42.5802	64.8865
1	50.5388	63.3435
0	42.8987	64.9058
1	53.394	63.2891
0	42.0352	64.8151
1	55.4315	63.3125
0	41.2799	64.8205
1	55.309	63.2429
0	42.168	64.7857
1	54.3827	63.2936
0	42.0624	64.8111
1	53.8747	63.3414
0	42.1677	64.7362
1	55.5536	63.2358
0	40.928	64.8033
1	53.8299	63.3229
0	43.1363	64.8637
1	53.0636	63.2806
0	43.8103	64.8008
1	53.027	63.287
0	42.2966	64.9059
1	54.0939	63.2948
0	42.2659	64.8593
1	54.9915	63.2704
0	41.887	64.7526
1	55.5068	63.2984
0	42.8709	64.8686
1	56.5605	63.2812
0	42.0468	64.9714
1	57.2597	63.3375
0	42.3487	64.77
1	56.4727	63.2665
0	42.7467	64.9701
1	54.5533	63.3396
0	43.0267	64.8762
1	55.5437	63.4171
0	44.43	64.8667
1	56.1272	63.2971
0	45.6568	64.8453
1	56.0686	63.3726
0	45.9831	64.7584
1	55.7973	63.2814
0	47.0255	64.8556
1	55.8921	63.3575
0	48.8016	64.8056
1	54.8743	63.3855
0	46.5825	64.8706
1	54.1924	63.3058
0	47.2296	64.9641
1	51.8326	63.307
0	46.1726	64.883
1	51.119	63.3978
0	46.7239	64.8064
1	50.2004	63.396
0	46.5742	64.8713
1	49.4276	63.364
0	45.0349	64.871
1	48.4931	63.3418
0	45.6185	64.9051
1	48.1189	63.3392
0	46.2841	64.9635
1	45.1291	63.2916
0	47.9325	64.9084
1	43.8674	63.2026
0	48.0113	64.9016
1	46.0504	63.2217
0	48.0488	64.9378
1	46.3382	63.3356
0	49.7263	64.7968
1	47.3769	63.2288
0	48.7746	64.7479
1	46.9619	63.2813
0	48.802	64.7271
1	49.9705	63.2692
0	50.4883	64.7888
1	50.7508	63.3921
0	51.4734	64.8713
1	50.7735	63.3623
0	51.5356	64.8737
1	51.5476	63.3565
0	51.5735	64.863
1	51.1124	63.239
0	51.4472	64.8177
1	51.5039	63.3627
0	49.258	64.7993
1	54.0979	63.3649
0	50.6857	64.7146
1	55.7268	63.4547
0	50.5765	64.8008
1	55.6549	63.4147
0	53.0179	64.8331
1	52.8156	63.3666
0	53.4987	64.817
1	51.832	63.3103
0	54.3744	64.859
1	51.5866	63.2459
0	54.241	64.7987
1	50.899	63.2926
0	54.8764	64.852
1	50.0574	63.3199
0	55.9789	64.8995
1	50.6682	63.2945
0	55.0644	64.9395
1	51.0413	63.2878
0	55.5433	64.8813
1	50.3638	63.2228
0	56.9116	64.9705
