#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.486	-1.70121 	0.00198257 	0.0700342 	0.0627983	3.57927 	0.0660322 	79.8013 	1.12288	1.04431 	0.000731276 	1.04074 	0.0012669
0.487	-1.70705 	0.00206237 	0.207141 	0.0668111	3.33104 	0.0658658 	76.5466 	2.64725	1.04127 	0.00078314 	1.03727 	0.0011324
0.488	-1.71021 	0.00215967 	-0.212083 	0.0611319	3.41713 	0.0656284 	76.5072 	2.72885	1.04205 	0.000824734 	1.03796 	0.00120193
0.489	-1.7135 	0.00174593 	-0.0159546 	0.0715576	3.28353 	0.0599967 	81.3108 	0.668762	1.04038 	0.00067003 	1.03503 	0.00102701
0.49	-1.71232 	0.00190499 	-0.102576 	0.0688433	3.34531 	0.0616476 	80.1849 	1.5559	1.04112 	0.000694515 	1.03641 	0.00109225
0.491	-1.71444 	0.00213792 	-0.0188354 	0.0663803	3.3109 	0.0619673 	81.2253 	0.617071	1.04073 	0.00076761 	1.03625 	0.00112105
0.492	-1.71865 	0.00199716 	0.00372314 	0.0700313	3.25417 	0.0609466 	81.66 	0.692309	1.03969 	0.000700649 	1.03495 	0.00110875
0.493	-1.72491 	0.00205609 	0.117388 	0.069261	3.15349 	0.0550298 	80.8842 	1.74111	1.03853 	0.000684174 	1.03115 	0.00102112
0.494	-1.72609 	0.00183098 	0.0478296 	0.0782712	3.16758 	0.0575086 	82.1355 	0.987995	1.03859 	0.00063201 	1.03168 	0.00101831
0.495	-1.73169 	0.00195234 	-0.015918 	0.0713167	3.06432 	0.0603029 	82.7772 	0.790728	1.03707 	0.000693705 	1.02942 	0.00102912
0.496	-1.73182 	0.00186343 	0.195825 	0.0721186	3.15715 	0.0573744 	78.9456 	2.58051	1.03802 	0.000657462 	1.03079 	0.000981381
0.497	-1.73672 	0.00203066 	0.0941382 	0.0691659	2.98274 	0.0490195 	82.2762 	1.69472	1.03603 	0.000559884 	1.02782 	0.000925467
0.498	-1.74099 	0.00161782 	0.0362988 	0.0707853	2.9872 	0.053047 	83.2537 	0.797402	1.03569 	0.000636603 	1.02894 	0.000888003
0.499	-1.74156 	0.00181962 	-0.275303 	0.0751957	2.97096 	0.0504592 	75.9717 	3.96772	1.03548 	0.000592941 	1.02798 	0.000804971
0.5	-1.74484 	0.00182801 	0.11071 	0.0668565	2.89551 	0.0529935 	82.4682 	1.71053	1.03461 	0.000559432 	1.02758 	0.000763503
